Sample;Lamp;Time;LampTime
Controle_neg_0h_1;0nm;0h;L0nm_0h
Controle_neg_0h_2;0nm;0h;L0nm_0h
Controle_neg_0h_3;0nm;0h;L0nm_0h
Controle_neg_24h_1;0nm;24h;L0nm_24h
Controle_neg_24h_2;0nm;24h;L0nm_24h
Controle_neg_24h_3;0nm;24h;L0nm_24h
Controle_neg_48h_1;0nm;48h;L0nm_48h
Controle_neg_48h_2;0nm;48h;L0nm_48h
Controle_neg_48h_3;0nm;48h;L0nm_48h
Lampada_1_0h_1;222nm;0h;L222nm_0h
Lampada_1_0h_2;222nm;0h;L222nm_0h
Lampada_1_0h_3;222nm;0h;L222nm_0h
Lampada_1_24h_1;222nm;24h;L222nm_24h
Lampada_1_24h_2;222nm;24h;L222nm_24h
Lampada_1_24h_3;222nm;24h;L222nm_24h
Lampada_1_48h_1;222nm;48h;L222nm_48h
Lampada_1_48h_2;222nm;48h;L222nm_48h
Lampada_1_48h_3;222nm;48h;L222nm_48h
Lampada_2_0h_1;254nm;0h;L254nm_0h
Lampada_2_0h_2;254nm;0h;L254nm_0h
Lampada_2_0h_3;254nm;0h;L254nm_0h
Lampada_2_24h_1;254nm;24h;L254nm_24h
Lampada_2_24h_2;254nm;24h;L254nm_24h
Lampada_2_24h_3;254nm;24h;L254nm_24h
Lampada_2_48h_1;254nm;48h;L254nm_48h
Lampada_2_48h_2;254nm;48h;L254nm_48h
Lampada_2_48h_3;254nm;48h;L254nm_48h
